,B-SOiD labels,Start time (frames),Run lengths
1174,8,2991,1
1175,0,2992,4
1176,1,2996,4
1177,0,3000,1
1178,7,3001,3
1179,11,3004,1
1180,9,3005,4
1181,5,3009,1
1182,1,3010,1
1183,11,3011,1
1184,10,3012,2
1185,1,3014,1
1186,9,3015,3
1187,2,3018,2
1188,10,3020,3
1189,9,3023,4
1190,10,3027,1
1191,9,3028,4
1192,2,3032,4
1193,1,3036,5
1194,2,3041,2
1195,0,3043,1
1196,1,3044,2
1197,5,3046,3
1198,1,3049,1
1199,0,3050,2
1200,1,3052,1
1201,9,3053,7
1202,10,3060,2
1203,9,3062,2
1204,0,3064,1
1205,9,3065,6
1206,5,3071,1
1207,1,3072,1
1208,11,3073,1
1209,1,3074,1
1210,11,3075,1
1211,1,3076,1
1212,0,3077,1
1213,2,3078,1
1214,10,3079,1
1215,13,3080,1
1216,9,3081,5
1217,10,3086,4
1218,14,3090,1
1219,9,3091,8
1220,10,3099,1
1221,9,3100,2
1222,0,3102,2
1223,1,3104,2
1224,2,3106,1
1225,9,3107,9
1226,5,3116,1
1227,9,3117,1
1228,5,3118,1
1229,9,3119,1
1230,8,3120,1
1231,11,3121,3
1232,1,3124,2
1233,11,3126,12
1234,1,3138,1
1235,9,3139,1
1236,5,3140,1
1237,9,3141,6
1238,0,3147,1
1239,9,3148,3
1240,8,3151,1
1241,1,3152,1
1242,0,3153,1
1243,1,3154,1
1244,5,3155,1
1245,1,3156,1
1246,5,3157,1
1247,0,3158,1
1248,11,3159,1
1249,2,3160,5
1250,7,3165,2
1251,1,3167,1
1252,6,3168,1
1253,11,3169,3
1254,1,3172,4
1255,10,3176,1
1256,7,3177,1
1257,2,3178,1
1258,11,3179,2
1259,10,3181,3
1260,9,3184,2
1261,10,3186,1
1262,11,3187,8
1263,0,3195,1
1264,10,3196,3
1265,2,3199,2
1266,11,3201,2
1267,0,3203,2
1268,1,3205,2
1269,0,3207,1
1270,2,3208,1
1271,7,3209,1
1272,2,3210,1
1273,1,3211,2
1274,11,3213,1
1275,9,3214,2
1276,0,3216,2
1277,11,3218,7
1278,9,3225,1
1279,11,3226,2
1280,0,3228,1
1281,10,3229,3
1282,2,3232,1
1283,0,3233,1
1284,11,3234,1
1285,0,3235,1
1286,5,3236,2
1287,10,3238,4
1288,9,3242,6
1289,1,3248,2
1290,10,3250,1
1291,7,3251,2
1292,9,3253,5
1293,8,3258,1
1294,0,3259,1
1295,5,3260,2
1296,11,3262,1
1297,5,3263,2
1298,9,3265,2
1299,1,3267,1
1300,5,3268,1
1301,1,3269,2
1302,11,3271,8
1303,0,3279,1
1304,11,3280,1
1305,0,3281,2
1306,2,3283,2
1307,1,3285,2
1308,11,3287,1
1309,1,3288,3
1310,11,3291,1
1311,1,3292,1
1312,0,3293,1
1313,2,3294,1
1314,10,3295,4
1315,3,3299,1
1316,10,3300,9
1317,9,3309,3
1318,10,3312,1
1319,9,3313,2
1320,0,3315,12
1321,1,3327,2
1322,0,3329,12
1323,11,3341,8
1324,9,3349,1
1325,1,3350,1
1326,9,3351,1
1327,0,3352,2
1328,1,3354,1
1329,5,3355,1
1330,11,3356,3
1331,5,3359,1
1332,11,3360,1
1333,10,3361,1
1334,9,3362,2
1335,10,3364,1
1336,2,3365,4
1337,7,3369,2
1338,0,3371,2
1339,11,3373,2
1340,0,3375,1
1341,1,3376,1
1342,5,3377,1
1343,9,3378,2
1344,5,3380,1
1345,9,3381,3
1346,2,3384,2
1347,10,3386,1
1348,9,3387,10
1349,1,3397,3
1350,5,3400,4
1351,0,3404,3
1352,10,3407,3
1353,9,3410,5
1354,1,3415,2
1355,9,3417,2
1356,1,3419,1
1357,9,3420,18
1358,2,3438,2
1359,0,3440,1
1360,1,3441,1
1361,5,3442,1
1362,6,3443,1
1363,10,3444,3
1364,2,3447,7
1365,13,3454,1
1366,2,3455,8
1367,7,3463,1
1368,10,3464,5
1369,1,3469,3
1370,10,3472,2
1371,1,3474,1
1372,9,3475,3
1373,5,3478,1
1374,10,3479,3
1375,5,3482,1
1376,9,3483,2
1377,1,3485,1
1378,0,3486,1
1379,9,3487,8
1380,0,3495,1
1381,2,3496,1
1382,10,3497,2
1383,5,3499,1
1384,10,3500,6
1385,14,3506,1
1386,9,3507,6
1387,5,3513,1
1388,10,3514,1
1389,2,3515,1
1390,9,3516,4
1391,10,3520,2
1392,9,3522,2
1393,11,3524,9
1394,1,3533,1
1395,5,3534,2
1396,10,3536,1
1397,7,3537,2
1398,2,3539,1
1399,1,3540,1
1400,7,3541,1
1401,10,3542,1
1402,1,3543,1
1403,10,3544,1
1404,1,3545,1
1405,10,3546,1
1406,2,3547,1
1407,9,3548,3
1408,10,3551,1
1409,7,3552,1
1410,2,3553,1
1411,11,3554,3
1412,7,3557,2
1413,10,3559,2
1414,5,3561,1
1415,14,3562,1
1416,9,3563,2
1417,10,3565,1
1418,3,3566,2
1419,10,3568,3
1420,5,3571,3
1421,0,3574,1
1422,9,3575,1
1423,5,3576,1
1424,10,3577,5
1425,5,3582,1
1426,10,3583,2
1427,5,3585,2
1428,14,3587,1
1429,9,3588,7
1430,2,3595,4
1431,9,3599,3
1432,11,3602,7
1433,2,3609,3
1434,11,3612,2
1435,2,3614,2
1436,11,3616,7
1437,8,3623,1
1438,9,3624,1
1439,11,3625,1
1440,1,3626,1
1441,9,3627,3
1442,10,3630,2
1443,7,3632,1
1444,10,3633,2
1445,2,3635,1
1446,7,3636,1
1447,2,3637,1
1448,7,3638,1
1449,9,3639,5
1450,1,3644,1
1451,9,3645,2
1452,11,3647,8
1453,0,3655,1
1454,1,3656,1
1455,5,3657,3
1456,11,3660,1
1457,0,3661,1
1458,1,3662,5
1459,10,3667,6
1460,1,3673,2
1461,2,3675,3
1462,9,3678,3
1463,5,3681,1
1464,0,3682,4
1465,9,3686,1
1466,5,3687,1
1467,1,3688,1
1468,11,3689,1
1469,1,3690,1
1470,11,3691,4
1471,2,3695,2
1472,10,3697,1
1473,2,3698,3
1474,1,3701,4
1475,11,3705,3
1476,1,3708,2
1477,10,3710,1
1478,0,3711,1
1479,2,3712,1
1480,7,3713,24
1481,1,3737,1
1482,11,3738,2
1483,8,3740,1
1484,5,3741,1
1485,8,3742,1
1486,5,3743,2
1487,0,3745,1
1488,1,3746,2
1489,5,3748,10
1490,0,3758,1
1491,11,3759,3
1492,12,3762,1
1493,11,3763,6
1494,1,3769,1
1495,10,3770,1
1496,7,3771,2
1497,9,3773,3
1498,1,3776,2
1499,10,3778,2
1500,2,3780,4
1501,10,3784,2
1502,2,3786,7
1503,7,3793,1
1504,1,3794,3
1505,11,3797,4
1506,0,3801,1
1507,11,3802,2
1508,9,3804,1
1509,0,3805,1
1510,11,3806,1
1511,0,3807,1
1512,9,3808,2
1513,1,3810,1
1514,7,3811,1
1515,2,3812,2
1516,10,3814,5
1517,2,3819,11
1518,11,3830,2
1519,6,3832,1
1520,0,3833,1
1521,1,3834,1
1522,5,3835,1
1523,9,3836,2
1524,0,3838,1
1525,2,3839,1
